#Columns,21,,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00691_DIC_mg_per_L_as_C,71846_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00530_TSS_mg_per_L,FTICR-MS,Methods_Deviation
N/A,SPS_0041-1,Liquid>aqueous,5.05,-9999,-9999,6.51,3.93,Fluoride_0.103_ppm_Below_0.12_ppm,-9999,1.03,0.02,-9999,-9999,0.43,2.57,1.05,0.78,TN_0.0801_ppm_Below_0.1_ppm,2.69,See_FTICR_folder,Ca_BLC_000;DTL_000
N/A,SPS_0043-1,Liquid>aqueous,12.9,-9999,Bromide_0.0069_ppm_Below_LOD_0.0084_ppm,11.9,0.9,0.13,-9999,2.9,0.04,-9999,-9999,0.4,2.42,1.37,0.47,TN_0.0675_ppm_Below_LOD_0.07_ppm,0.3,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0044-1,Liquid>aqueous,18.3,-9999,0.23,10.9,1.63,0.16,-9999,10.2,0.2,-9999,-9999,0.6,2.12,1.04,0.52,TN_0.0515_ppm_Below_LOD_0.07_ppm,1.21,See_FTICR_folder,Ca_CV_030;Cl_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;Ca_BLC_000;DTL_000
N/A,SPS_0045-1,Liquid>aqueous,21.5,-9999,-9999,11.9,5.95,0.1,-9999,4.59,0.05,0.02,-9999,0.97,7.06,1.03,1.42,0.12,2.61,See_FTICR_folder,F_BLC_000;TSS_004
N/A,SPS_0046-1,Liquid>aqueous,6.44,-9999,Bromide_0.179_ppm_Below_LOD_0.0084_ppm,6.96,1.26,Fluoride_0.101_ppm_Below_0.13_ppm,-9999,2.46,0.06,0.04,-9999,0.36,1.59,0.66,1.08,TN_0.0849_ppm_Below_0.1_ppm,1.51,See_FTICR_folder,Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0047-1,Liquid>aqueous,10.7,-9999,Bromide_0.159_ppm_Below_0.16_ppm,9.22,1.41,0.13,-9999,3.68,0.04,0.02,0.52,1.26,3.2,0.87,1.06,0.1,7.33,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;DTL_000;Br_BLC_000;F_BLC_000
N/A,SPS_0050-1,Liquid>aqueous,11.2,-9999,Bromide_0.0534_ppm_Below_0.056_ppm,11.9,3,0.13,-9999,3.58,0.09,0.02,0.37,2.03,3.51,1.89,3,0.22,4.26,See_FTICR_folder,DTL_000;Br_BLC_000;F_BLC_000
N/A,SPS_0053-1,Liquid>aqueous,26.8,-9999,2.17,19.6,8.36,0.2,-9999,8.72,3.5,0.01,0.8,2.37,12.3,14.5,1.83,1.48,13.1,See_FTICR_folder,VI_ION_01
N/A,SPS_0054-1,Liquid>aqueous,21.8,-9999,1.49,14.7,5.44,0.23,-9999,4.98,2.41,0.02,0.82,1.42,6.99,6.66,1.79,1.63,5.5,See_FTICR_folder,F_CV_030;SO4_CV_030;VI_ION_01
N/A,SPS_0055-1,Liquid>aqueous,11.1,-9999,0.38,8.88,4.21,0.18,-9999,3.69,0.49,0.01,0.81,1.12,5.2,3.2,1.38,0.31,6.78,See_FTICR_folder,VI_ION_01;TSS_004
N/A,SPS_0056-1,Liquid>aqueous,6.65,-9999,0.16,8.01,2.78,0.17,-9999,1.94,0.04,0.01,-9999,0.85,3.24,2.98,1.13,0.11,10.9,See_FTICR_folder,VI_ION_02;NO4_CV_030;Na_CV_030;TSS_004
N/A,SPS_0057-1,Liquid>aqueous,22.7,-9999,0.16,13.5,1.57,0.22,-9999,9.01,0.06,-9999,0.84,3.55,8.78,2.14,2.14,0.08,3.32,See_FTICR_folder,Br_BLC_000;Ca_BLC_000;TSS_004
N/A,SPS_0058-1,Liquid>aqueous,15.9,-9999,Bromide_0.00596_ppm_Below_LOD_0.0084_ppm,11.1,0.8,0.16,-9999,6.24,0.04,-9999,0.82,2.24,5.19,0.88,1.67,0.03,1.88,See_FTICR_folder,SO4_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0059-1,Liquid>aqueous,33.5,-9999,Bromide_0.153_ppm_Below_0.16_ppm,15.1,2.22,0.25,-9999,10.8,0.04,-9999,0.84,4.46,9.98,1.09,2.78,0.1,68.1,See_FTICR_folder,DTL_000;Br_BLC_000;Ca_BLC_000;TSS_004
N/A,SPS_0025-1,Liquid>aqueous,-9999,-9999,0.2,5.83,1.09,Fluoride_0.0999_ppm_Below_0.13_ppm,-9999,8.55,0.11,0.02,-9999,0.28,0.91,0.86,0.39,TN_0.0705_ppm_Below_0.1_ppm,0.22,See_FTICR_folder,Br_BLC_000;DTL_000;F_BLC_000
N/A,SPS_0020-1,Liquid>aqueous,-9999,-9999,0.03,5.58,1.25,0.42,-9999,0.49,0.09,-9999,-9999,0.42,1.13,1.36,0.27,TN_0.0474_ppm_Below_LOD_0.07_ppm,1.2,See_FTICR_folder,Cl_CV_030;F_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;DTL_000
N/A,SPS_0040-1,Liquid>aqueous,-9999,-9999,Bromide_0.184_ppm_Below_LOD_0.0084_ppm,13.6,3.75,0.14,-9999,8.13,0.08,0.04,-9999,0.56,4.46,1.27,0.84,TN_0.0881_ppm_Below_0.1_ppm,0.58,See_FTICR_folder,Ca_CV_030;F_CV_030;Mg_CV_030;K_CV_030;Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0007-1,Liquid>aqueous,-9999,-9999,-9999,4.62,2.36,Fluoride_0.0677_ppm_Below_0.12_ppm,-9999,2.09,-9999,-9999,-9999,0.7,2.78,0.15,0.91,TN_0.0828_ppm_Below_0.1_ppm,1.53,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;DTL_000
